date,line_id,product,shift,available_time_min,production_time_min,downtime_min,units_produced,defective_units,good_units,availability,performance,quality,oee,downtime_reasons
2025-12-11,LINHA_A,Iogurte Natural,1,480,393,87,28603,343,28260,0.8187,0.8734,0.988,0.7065,"[{'reason': 'Limpeza CIP', 'duration': 30}, {'reason': 'Ajuste de Equipamento', 'duration': 12}, {'reason': 'Falta de Matéria-Prima', 'duration': 45}]"
2025-12-11,LINHA_A,Iogurte Natural,2,480,480,0,39197,1256,37941,1.0,0.9799,0.968,0.9485,[]
2025-12-11,LINHA_A,Iogurte Natural,3,480,429,51,35588,1511,34077,0.8938,0.9955,0.9575,0.8519,"[{'reason': 'Limpeza CIP', 'duration': 51}]"
2025-12-11,LINHA_B,Iogurte Grego,1,480,480,0,28072,372,27700,1.0,0.8772,0.9867,0.8656,[]
2025-12-11,LINHA_B,Iogurte Grego,2,480,432,48,26346,477,25869,0.9,0.9148,0.9819,0.8084,"[{'reason': 'Limpeza CIP', 'duration': 48}]"
2025-12-11,LINHA_B,Iogurte Grego,3,480,473,7,28185,605,27580,0.9854,0.8938,0.9785,0.8619,"[{'reason': 'Falha Elétrica', 'duration': 7}]"
2025-12-11,LINHA_C,Leite Fermentado,1,480,394,86,21308,674,20634,0.8208,0.9271,0.9684,0.7369,"[{'reason': 'Troca de Sabor', 'duration': 17}, {'reason': 'Falta de Matéria-Prima', 'duration': 69}]"
2025-12-11,LINHA_C,Leite Fermentado,2,480,480,0,26351,333,26018,1.0,0.9411,0.9874,0.9292,[]
2025-12-11,LINHA_C,Leite Fermentado,3,480,480,0,27785,1346,26439,1.0,0.9923,0.9516,0.9442,[]
2025-12-12,LINHA_A,Iogurte Natural,1,480,272,208,21593,535,21058,0.5667,0.9526,0.9752,0.5264,"[{'reason': 'Troca de Sabor', 'duration': 32}, {'reason': 'Falta de Matéria-Prima', 'duration': 176}]"
2025-12-12,LINHA_A,Iogurte Natural,2,480,480,0,36971,242,36729,1.0,0.9243,0.9935,0.9182,[]
2025-12-12,LINHA_A,Iogurte Natural,3,480,433,47,32357,919,31438,0.9021,0.8967,0.9716,0.786,"[{'reason': 'Falha Elétrica', 'duration': 19}, {'reason': 'Controle de Qualidade', 'duration': 28}]"
2025-12-12,LINHA_B,Iogurte Grego,1,480,450,30,29863,1190,28673,0.9375,0.9954,0.9602,0.896,"[{'reason': 'Ajuste de Equipamento', 'duration': 30}]"
2025-12-12,LINHA_B,Iogurte Grego,2,480,297,183,17412,122,17290,0.6188,0.8794,0.993,0.5403,"[{'reason': 'Troca de Sabor', 'duration': 39}, {'reason': 'Manutenção Preventiva', 'duration': 109}, {'reason': 'Falha Elétrica', 'duration': 26}, {'reason': 'Ajuste de Equipamento', 'duration': 9}]"
2025-12-12,LINHA_B,Iogurte Grego,3,480,384,96,22801,964,21837,0.8,0.8907,0.9577,0.6824,"[{'reason': 'Falta de Matéria-Prima', 'duration': 96}]"
2025-12-12,LINHA_C,Leite Fermentado,1,480,448,32,24340,276,24064,0.9333,0.9314,0.9887,0.8594,"[{'reason': 'Limpeza CIP', 'duration': 32}]"
